Nume,Prenume,Sex,Cod persoana,an,functie
Pandrea,Anton,M,84,2006,preşedinte secţia penală
Bărbulescu,Lidia,F,2,2006,vicepreşedinte
Albu,Emanuel,M,6,2007,judecător
Anghelescu,Maria,F,7,2007,judecător
Aron,Mircea,M,9,2007,judecător
Barbălată,Georgeta,F,10,2007,judecător
Bărbulescu,Voica Ioana,F,11,2007,judecător
Bărcănescu ,Dragoş,M,12,2007,judecător
Belu-Magdo,Mona Lisa,F,13,2007,judecător
Bogasiu,Gabriela Elena,F,14,2007,judecător
Bordea,Adrian,M,15,2007,judecător
Brânzan,Contantin,M,17,2007,judecător
Bratu,Camelia,F,16,2007,judecător
Buta,Cristina Mădălina,F,19,2007,judecător
Buta,Gheorghe,M,20,2007,judecător
Cârcei,Elena,F,23,2007,judecător
Cătănoiu,Georgeta,F,22,2007,judecător
Chioseaua,Adriana,F,24,2007,judecător
Ciontu,Ştefan,M,27,2007,judecător
Cîrstocea,Mariana,F,25,2007,judecător
Cismaru,Filoftea,F,26,2007,judecător
Ciucă,Gilica,F,28,2007,judecător
Cornoiu,Dănuţ,M,30,2007,judecător
Cosma,Rodica,F,31,2007,judecător
Curelea,Lavinia,F,32,2007,judecător
Dascălu,Ana Maria,F,33,2007,judecător
Deneş,Adriana Viorica,F,35,2007,judecător
Dragne,Angela,F,36,2007,judecător
Dragomir,Ilie Iulian,M,37,2007,judecător
Dragomir,Ioana,F,38,2007,judecător
Dragu,Creţu,M,39,2007,judecător
Dumitru,Magdalena,F,40,2007,judecător
Duţă,Adrian,M,41,2007,judecător
Ezer,Emilia,F,42,2007,judecător
Floarea,Elena,F,43,2007,judecător
Floarea,Gheorghe,M,44,2007,judecător
Frumuşelu,Magdalena-Carmen,F,45,2007,judecător
Gaiţă ,Maria,F,46,2007,judecător
Gaspar,Gabriela,F,47,2007,judecător
Gheorghe,Dumitru,M,48,2007,judecător
Gherasim,Traian,M,49,2007,judecător
Ghermeli,Magdalena,F,50,2007,judecător
Ghiciu,Paşcu,M,51,2007,judecător
